Restaurant Names,Rating,Rating Count,Coordinates,Addresses
Bakeryerevan,5.0,17 reviews,"40.178387,44.518116",
UnderGround Pub,4.5,10 reviews,Not available,"Nalbandyan str. 48, Yerevan 0010 Armenia"
Moyka Garage Bar,5.0,2 reviews,"40.180386,44.503048",
Like Cafe & Bar,5.0,6 reviews,"4.542380,-75.670738",
5th Element,No rating,0 reviews,Not available,"28 Moskovyan Street, Yerevan Armenia"
Urban Beer House,4.0,9 reviews,Not available,"Komitas Avenue, Yerevan Armenia"
Buro,4.5,16 reviews,"40.179714,44.515507",
Das,4.0,1 review,"40.189529,44.521023",
Temurnots,4.0,52 reviews,"40.189228,44.515865",
Abu Hagop Restaurant,4.0,18 reviews,"40.183201,44.512344",
Mandarin Lounge,5.0,1 review,"40.182228,44.520294",
The Venue,4.5,8 reviews,"40.188095,44.514004",
Restoran № 8,No rating,0 reviews,Not available,"7.Sayat Nova str. 1/32, Yerevan 0060 Armenia"
Daphny Restaurant,No rating,0 reviews,Not available,"Saryan 1, Yerevan 0010 Armenia"
Cafe Rich,2.5,51 reviews,"40.184715,44.515526",
Batoni Restaurant & Beer House,No rating,0 reviews,"40.169586,44.507614",
Eat&Fit Healthy Food Cafe,4.5,325 reviews,"40.183754,44.507442",
Asador,4.0,50 reviews,"40.189064,44.519756",
The Red Hat,No rating,0 reviews,Not available,"Mesrop Mashtots Ave., 38, Yerevan 0002 Armenia"
Forty-Nine Pub,No rating,0 reviews,"40.185265,44.508678",
At Artush,4.5,158 reviews,"40.175171,44.509579",
Yerevans,5.0,1 review,"40.184139,44.511158",
Wok&Roll,No rating,0 reviews,"40.180676,44.522610",
Sham Nargila,5.0,2 reviews,"40.186584,44.525227",
Nreni Restaurant,No rating,0 reviews,"40.172371,44.519901",
Kozyrek,4.0,1 review,Not available,"Mashtots M. ave 37/1, Yerevan 0002 Armenia"
JCook Restaurant,No rating,0 reviews,Not available,"6 Saryan, Yerevan 0002 Armenia"
Armat,5.0,71 reviews,"40.183922,44.513733",
Kaskad Balkon,3.5,3 reviews,"40.190228,44.515579",
Havlabar,No rating,0 reviews,"40.223614,44.505806",
Narana Food Home,No rating,0 reviews,Not available,"Artsakh Ave., 18, Yerevan 0005 Armenia"
Tri Tolstyaka,4.5,5 reviews,Not available,"Nar Dos St., 88 Mashtoc 20, Yerevan Armenia"
Jambo Exotic Park Restaurant,4.5,10 reviews,"40.202839,44.641098",
Yntaniq  Restaurant,No rating,0 reviews,"40.157219,44.461601",
The Coffee City,3.0,8 reviews,"40.184116,44.514458",
The Old Mill Tavern,4.0,2 reviews,"40.219761,44.565144",
El Chillout,5.0,61 reviews,"40.186806,44.481415",
Room5,5.0,44 reviews,"40.186951,44.512302",
Forty Four Sky Bar,5.0,8 reviews,"40.189220,44.512466",
Grand Candy,5.0,2 reviews,"40.190208,44.519039",
Marush Sweets Boutique,4.0,1 review,"40.185944,44.518036",
Wasabi,3.0,59 reviews,"40.179840,44.514210",
Salt & Pepper,4.5,19 reviews,"40.181015,44.515617",
La Piazza,4.0,193 reviews,"40.182079,44.514786",
The Coffee 23. 5,5.0,2 reviews,"40.186993,44.509613",
