Hotel Names,Price,Rating,Rating Count,Nearby Resaurants,Nearby Attractions
Villa Delenda,"29,190",4.5,95 reviews,200 restaurants within walking distance.,34 attraction areas within walking distance.
RIS Dalma Collection Yerevan,"24,996",5.0,6 reviews,26 restaurants within walking distance.,10 attraction areas within walking distance.
Master's House Dayan,"26,250",5.0,7 reviews,39 restaurants within walking distance.,19 attraction areas within walking distance.
Mashtots Hotel,"18,333",4.0,22 reviews,282 restaurants within walking distance.,51 attraction areas within walking distance.
A Hotel Yerevan,"21,995",5.0,5 reviews,242 restaurants within walking distance.,46 attraction areas within walking distance.
Green Palace Hotel & Sauna,"20,417",4.0,25 reviews,737 restaurants within walking distance.,200 attraction areas within walking distance.
Nor Dzoraberd Hotel,"20,000",4.5,7 reviews,123 restaurants within walking distance.,32 attraction areas within walking distance.
Hotel Lilia Yerevan,"26,917",4.5,11 reviews,67 restaurants within walking distance.,11 attraction areas within walking distance.
City Centre Apartments,"12,750",4.5,5 reviews,124 restaurants within walking distance.,16 attraction areas within walking distance.
4Guest Hotel,"17,006",5.0,4 reviews,None within walking distance,None within walking distance
Ararat hotel,"33,451",3.5,101 reviews,25 restaurants within walking distance.,6 attraction areas within walking distance.
My Apartments Yerevan,"14,250",4.0,8 reviews,114 restaurants within walking distance.,28 attraction areas within walking distance.
Panorama Yerevan Resort,"24,542",4.5,50 reviews,35 restaurants within walking distance.,2 attraction areas within walking distance.
Umba Hostel & Tours,"7,402",4.5,76 reviews,196 restaurants within walking distance.,45 attraction areas within walking distance.
Art Hotel,"12,752",4.5,47 reviews,69 restaurants within walking distance.,16 attraction areas within walking distance.
Villa 29,"25,011",4.5,47 reviews,90 restaurants within walking distance.,17 attraction areas within walking distance.
Hotel Regineh,"30,662",4.0,90 reviews,88 restaurants within walking distance.,20 attraction areas within walking distance.
Grig Hotel,"21,333",4.5,33 reviews,78 restaurants within walking distance.,29 attraction areas within walking distance.
Areve Residence Boutique Hotel,"16,996",4.5,34 reviews,None within walking distance,None within walking distance
Silk Road Hotel,"29,176",5.0,81 reviews,67 restaurants within walking distance.,23 attraction areas within walking distance.
Grand Hostel Yerevan,"8,572",4.5,71 reviews,131 restaurants within walking distance.,23 attraction areas within walking distance.
Hostel Glide,"9,167",5.0,61 reviews,21 restaurants within walking distance.,3 attraction areas within walking distance.
Best Eastern Hotel Metropol,Not available,4.0,119 reviews,12 restaurants within walking distance.,9 attraction areas within walking distance.
Grammy Hostel,Not available,4.5,51 reviews,166 restaurants within walking distance.,44 attraction areas within walking distance.
Hrazdan Hotel,"22,509",3.5,111 reviews,14 restaurants within walking distance.,4 attraction areas within walking distance.
SD Hotel,"16,667",4.5,53 reviews,None within walking distance,None within walking distance
Byron Hostel,"6,662",4.5,32 reviews,191 restaurants within walking distance.,55 attraction areas within walking distance.
Minotel Barsam Suites,Not available,4.0,102 reviews,41 restaurants within walking distance.,15 attraction areas within walking distance.
Planet Hotel,"15,833",5.0,22 reviews,None within walking distance,None within walking distance
Dreams Hotel,Not available,5.0,15 reviews,39 restaurants within walking distance.,10 attraction areas within walking distance.
Family Hotel,"42,387",4.5,27 reviews,179 restaurants within walking distance.,31 attraction areas within walking distance.
Comfort Hotel,"16,665",3.5,13 reviews,23 restaurants within walking distance.,7 attraction areas within walking distance.
Skyline Hotel Yerevan,"21,667",5.0,1 review,None within walking distance,None within walking distance
Mandarin Hotel,"14,167",5.0,1 review,118 restaurants within walking distance.,17 attraction areas within walking distance.
Cascade Hostel & Tours,Not available,4.5,40 reviews,170 restaurants within walking distance.,44 attraction areas within walking distance.
Nare Hotel,"18,743",4.5,29 reviews,None within walking distance,None within walking distance
Capital Hotel,"14,400",4.0,41 reviews,65 restaurants within walking distance.,22 attraction areas within walking distance.
Primer Hotel,"14,351",4.0,39 reviews,13 restaurants within walking distance.,2 attraction areas within walking distance.
2x2 Cinema-Bar Hotel,"15,422",4.5,15 reviews,55 restaurants within walking distance.,5 attraction areas within walking distance.
Ossanna Hotel,Not available,5.0,16 reviews,None within walking distance,None within walking distance
Adams Hotel,Not available,5.0,13 reviews,79 restaurants within walking distance.,16 attraction areas within walking distance.
Villa Ayghedzor,Not available,4.5,26 reviews,92 restaurants within walking distance.,29 attraction areas within walking distance.
Kesabella Touristic House,"12,500",4.5,14 reviews,None within walking distance,None within walking distance
Bien Hotel,"22,500",4.5,14 reviews,14 restaurants within walking distance.,10 attraction areas within walking distance.
Benefice Hotel & Tours,"15,007",4.0,25 reviews,None within walking distance,None within walking distance
Apri Hostel,"9,750",5.0,9 reviews,154 restaurants within walking distance.,36 attraction areas within walking distance.
Best View Hotel,"17,675",4.5,17 reviews,48 restaurants within walking distance.,16 attraction areas within walking distance.
Ani Grand Hotel Yerevan,"39,167",5.0,9 reviews,113 restaurants within walking distance.,27 attraction areas within walking distance.
Comfort House Hotel,"9,169",4.0,25 reviews,103 restaurants within walking distance.,33 attraction areas within walking distance.
Forum Hotel,"30,000",4.5,49 reviews,15 restaurants within walking distance.,3 attraction areas within walking distance.
Venezia Palazzo,Not available,4.0,35 reviews,740 restaurants within walking distance.,203 attraction areas within walking distance.
Armenia Hostel,"10,003",4.5,25 reviews,None within walking distance,None within walking distance
Premium Hotel,"33,325",4.5,10 reviews,74 restaurants within walking distance.,7 attraction areas within walking distance.
Princ Plaza Hotel,"12,155",4.5,18 reviews,None within walking distance,None within walking distance
Alba Hotel Yerevan,Not available,4.0,16 reviews,306 restaurants within walking distance.,75 attraction areas within walking distance.
Rafael Hostel,Not available,4.0,22 reviews,250 restaurants within walking distance.,47 attraction areas within walking distance.
Hotel Maison Yerevan,Not available,5.0,6 reviews,38 restaurants within walking distance.,12 attraction areas within walking distance.
MBM Hotel Yerevan,"11,250",4.5,10 reviews,10 restaurants within walking distance.,6 attraction areas within walking distance.
Royal Plaza Hotel,Not available,3.5,104 reviews,132 restaurants within walking distance.,22 attraction areas within walking distance.
Bomo Nairi Hotel,"29,995",4.0,96 reviews,36 restaurants within walking distance.,12 attraction areas within walking distance.
